date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,result_IRM,bib
2024-08-08T11:43:16+02:00,TKWM68KG--------------8FNL000600--,TKWM68KG,Men -68kg,Men -68kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1540991,GOLUBIC Marko,Person,CRO,Croatia,2,POINTS,W,,407
2024-08-08T11:43:16+02:00,TKWM68KG--------------8FNL000600--,TKWM68KG,Men -68kg,Men -68kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1949404,PIE Bernardo,Person,DOM,Dominican Republic,0,POINTS,L,,410
2024-08-08T12:10:48+02:00,TKWM68KG--------------8FNL000700--,TKWM68KG,Men -68kg,Men -68kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1955815,PONTES Edival,Person,BRA,Brazil,1,POINTS,L,,411
2024-08-08T12:10:48+02:00,TKWM68KG--------------8FNL000700--,TKWM68KG,Men -68kg,Men -68kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1537401,KAREEM Zaid,Person,JOR,Jordan,2,POINTS,W,,406
2024-08-08T12:47:20+02:00,TKWM68KG--------------8FNL000800--,TKWM68KG,Men -68kg,Men -68kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1566727,RECBER Hakan,Person,TUR,Türkiye,2,POINTS,W,,403
2024-08-08T12:47:20+02:00,TKWM68KG--------------8FNL000800--,TKWM68KG,Men -68kg,Men -68kg Round of 16,Round of 16,FINISHED,M,Taekwondo,TKW,Grand Palais,1888140,MAIGA Ibrahim,Person,BUR,Burkina Faso,0,POINTS,L,,414
2024-08-08T14:59:05+02:00,TKWM68KG--------------QFNL000100--,TKWM68KG,Men -68kg,Men -68kg Quarterfinal,Quarterfinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1893275,ALAPHILIPPE Souleyman,Person,FRA,France,1,POINTS,L,,404
2024-08-08T14:59:05+02:00,TKWM68KG--------------QFNL000100--,TKWM68KG,Men -68kg,Men -68kg Quarterfinal,Quarterfinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1546696,PEREZ POLO Javier,Person,ESP,Spain,2,POINTS,W,,405
2024-08-08T15:25:23+02:00,TKWM68KG--------------QFNL000200--,TKWM68KG,Men -68kg,Men -68kg Quarterfinal,Quarterfinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1910367,LIANG Yushuai,Person,CHN,China,0,POINTS,L,,409
2024-08-08T15:25:23+02:00,TKWM68KG--------------QFNL000200--,TKWM68KG,Men -68kg,Men -68kg Quarterfinal,Quarterfinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1887714,RASHITOV Ulugbek,Person,UZB,Uzbekistan,2,POINTS,W,,401
2024-08-08T16:04:07+02:00,TKWM68KG--------------QFNL000300--,TKWM68KG,Men -68kg,Men -68kg Quarterfinal,Quarterfinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1896153,SINDEN Bradly,Person,GBR,Great Britain,2,POINTS,W,,402
2024-08-08T16:04:07+02:00,TKWM68KG--------------QFNL000300--,TKWM68KG,Men -68kg,Men -68kg Quarterfinal,Quarterfinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1540991,GOLUBIC Marko,Person,CRO,Croatia,1,POINTS,L,,407
2024-08-08T16:30:08+02:00,TKWM68KG--------------QFNL000400--,TKWM68KG,Men -68kg,Men -68kg Quarterfinal,Quarterfinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1537401,KAREEM Zaid,Person,JOR,Jordan,2,POINTS,W,,406
2024-08-08T16:30:08+02:00,TKWM68KG--------------QFNL000400--,TKWM68KG,Men -68kg,Men -68kg Quarterfinal,Quarterfinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1566727,RECBER Hakan,Person,TUR,Türkiye,0,POINTS,L,,403
2024-08-08T16:59:53+02:00,TKWM68KG--------------SFNL000100--,TKWM68KG,Men -68kg,Men -68kg Semifinal,Semifinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1546696,PEREZ POLO Javier,Person,ESP,Spain,0,POINTS,L,,405
2024-08-08T16:59:53+02:00,TKWM68KG--------------SFNL000100--,TKWM68KG,Men -68kg,Men -68kg Semifinal,Semifinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1887714,RASHITOV Ulugbek,Person,UZB,Uzbekistan,2,POINTS,W,,401
2024-08-08T17:31:49+02:00,TKWM68KG--------------SFNL000200--,TKWM68KG,Men -68kg,Men -68kg Semifinal,Semifinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1896153,SINDEN Bradly,Person,GBR,Great Britain,1,POINTS,L,,402
2024-08-08T17:31:49+02:00,TKWM68KG--------------SFNL000200--,TKWM68KG,Men -68kg,Men -68kg Semifinal,Semifinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1537401,KAREEM Zaid,Person,JOR,Jordan,2,POINTS,W,,406
2024-08-08T19:40:58+02:00,TKWM68KG--------------REP1000200--,TKWM68KG,Men -68kg,Men -68kg Repechage,Repechage,FINISHED,M,Taekwondo,TKW,Grand Palais,1910367,LIANG Yushuai,Person,CHN,China,2,POINTS,W,,409
2024-08-08T19:40:58+02:00,TKWM68KG--------------REP1000200--,TKWM68KG,Men -68kg,Men -68kg Repechage,Repechage,FINISHED,M,Taekwondo,TKW,Grand Palais,1962479,LO Wai Fung,Person,HKG,"Hong Kong, China",0,POINTS,L,,417
2024-08-08T20:10:17+02:00,TKWM68KG--------------REP1000300--,TKWM68KG,Men -68kg,Men -68kg Repechage,Repechage,FINISHED,M,Taekwondo,TKW,Grand Palais,1955815,PONTES Edival,Person,BRA,Brazil,2,POINTS,W,,411
2024-08-08T20:10:17+02:00,TKWM68KG--------------REP1000300--,TKWM68KG,Men -68kg,Men -68kg Repechage,Repechage,FINISHED,M,Taekwondo,TKW,Grand Palais,1566727,RECBER Hakan,Person,TUR,Türkiye,1,POINTS,L,,403
2024-08-08T20:37:54+02:00,TKWM68KG--------------REPF000100--,TKWM68KG,Men -68kg,Men -68kg Bronze Medal Contests,Bronze Medal Contests,FINISHED,M,Taekwondo,TKW,Grand Palais,1896153,SINDEN Bradly,Person,GBR,Great Britain,,IRM_POINTS,L,WDR,402
2024-08-08T20:37:54+02:00,TKWM68KG--------------REPF000100--,TKWM68KG,Men -68kg,Men -68kg Bronze Medal Contests,Bronze Medal Contests,FINISHED,M,Taekwondo,TKW,Grand Palais,1910367,LIANG Yushuai,Person,CHN,China,,,W,,409
2024-08-08T21:08:41+02:00,TKWM68KG--------------REPF000200--,TKWM68KG,Men -68kg,Men -68kg Bronze Medal Contests,Bronze Medal Contests,FINISHED,M,Taekwondo,TKW,Grand Palais,1955815,PONTES Edival,Person,BRA,Brazil,2,POINTS,W,,411
2024-08-08T21:08:41+02:00,TKWM68KG--------------REPF000200--,TKWM68KG,Men -68kg,Men -68kg Bronze Medal Contests,Bronze Medal Contests,FINISHED,M,Taekwondo,TKW,Grand Palais,1546696,PEREZ POLO Javier,Person,ESP,Spain,1,POINTS,L,,405
2024-08-08T21:40:10+02:00,TKWM68KG--------------FNL-000100--,TKWM68KG,Men -68kg,Men -68kg Gold Medal Contest,Gold Medal Contest,FINISHED,M,Taekwondo,TKW,Grand Palais,1887714,RASHITOV Ulugbek,Person,UZB,Uzbekistan,2,POINTS,W,,401
2024-08-08T21:40:10+02:00,TKWM68KG--------------FNL-000100--,TKWM68KG,Men -68kg,Men -68kg Gold Medal Contest,Gold Medal Contest,FINISHED,M,Taekwondo,TKW,Grand Palais,1537401,KAREEM Zaid,Person,JOR,Jordan,0,POINTS,L,,406
2024-08-07T09:29:56+02:00,TKWW49KG--------------R32-000100--,TKWW49KG,Women -49kg,Women -49kg Qualification Contest,Qualification Contest,FINISHED,W,Taekwondo,TKW,Grand Palais,1541652,da COSTA da SILVA PINTO Ana,Person,TLS,Timor-Leste,0,POINTS,L,,116
2024-08-07T09:29:56+02:00,TKWW49KG--------------R32-000100--,TKWW49KG,Women -49kg,Women -49kg Qualification Contest,Qualification Contest,FINISHED,W,Taekwondo,TKW,Grand Palais,1541825,EL BOUCHTI Oumaima,Person,MAR,Morocco,2,POINTS,W,,117
2024-08-07T09:51:40+02:00,TKWW49KG--------------8FNL000100--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1966502,KAFADAR Josipa,Person,CAN,Canada,0,POINTS,L,,113
2024-08-07T09:51:40+02:00,TKWW49KG--------------8FNL000100--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1569986,STOJKOVIC Lena,Person,CRO,Croatia,2,POINTS,W,,104
2024-08-07T10:32:23+02:00,TKWW49KG--------------8FNL000200--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1535367,SOUZA Daniela Paola,Person,MEX,Mexico,1,POINTS,L,,105
2024-08-07T10:32:23+02:00,TKWW49KG--------------8FNL000200--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1947739,DHAHRI Ikram,Person,TUN,Tunisia,2,POINTS,W,,112
2024-08-07T10:51:18+02:00,TKWW49KG--------------8FNL000300--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1909136,ABUTALEB Dunya Ali M,Person,KSA,Saudi Arabia,2,POINTS,W,,109
2024-08-07T10:51:18+02:00,TKWW49KG--------------8FNL000300--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1897227,SEMBERG Abishag,Person,ISR,Israel,1,POINTS,L,,108
2024-08-07T11:22:17+02:00,TKWW49KG--------------8FNL000400--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1902841,WONGPATTANAKIT Panipak,Person,THA,Thailand,2,POINTS,W,,101
2024-08-07T11:22:17+02:00,TKWW49KG--------------8FNL000400--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1541825,EL BOUCHTI Oumaima,Person,MAR,Morocco,0,POINTS,L,,117
2024-08-07T11:45:32+02:00,TKWW49KG--------------8FNL000500--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1917892,GRIPPOLI GAGLIARDO Maria Sara,Person,URU,Uruguay,0,POINTS,L,,115
2024-08-07T11:45:32+02:00,TKWW49KG--------------8FNL000500--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1546688,CEREZO IGLESIAS Adriana,Person,ESP,Spain,2,POINTS,W,,102
2024-08-07T12:38:44+02:00,TKWW49KG--------------8FNL000700--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1894538,POURYOUNES LANGEROUDI Dina,Person,EOR,EOR,0,POINTS,L,,111
2024-08-07T12:38:44+02:00,TKWW49KG--------------8FNL000700--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1910372,GUO Qing,Person,CHN,China,2,POINTS,W,,106
2024-08-07T13:08:53+02:00,TKWW49KG--------------8FNL000800--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1566732,DINCEL KAVURAT Merve,Person,TUR,Türkiye,2,POINTS,W,,103
2024-08-07T13:08:53+02:00,TKWW49KG--------------8FNL000800--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1929686,MATONTI Ilenia Elisabetta,Person,ITA,Italy,0,POINTS,L,,114
2024-08-07T14:48:07+02:00,TKWW49KG--------------QFNL000100--,TKWW49KG,Women -49kg,Women -49kg Quarterfinal,Quarterfinal,FINISHED,W,Taekwondo,TKW,Grand Palais,1569986,STOJKOVIC Lena,Person,CRO,Croatia,2,POINTS,W,,104
2024-08-07T14:48:07+02:00,TKWW49KG--------------QFNL000100--,TKWW49KG,Women -49kg,Women -49kg Quarterfinal,Quarterfinal,FINISHED,W,Taekwondo,TKW,Grand Palais,1947739,DHAHRI Ikram,Person,TUN,Tunisia,1,POINTS,L,,112
2024-08-07T15:15:47+02:00,TKWW49KG--------------QFNL000200--,TKWW49KG,Women -49kg,Women -49kg Quarterfinal,Quarterfinal,FINISHED,W,Taekwondo,TKW,Grand Palais,1909136,ABUTALEB Dunya Ali M,Person,KSA,Saudi Arabia,0,POINTS,L,,109
2024-08-07T15:15:47+02:00,TKWW49KG--------------QFNL000200--,TKWW49KG,Women -49kg,Women -49kg Quarterfinal,Quarterfinal,FINISHED,W,Taekwondo,TKW,Grand Palais,1902841,WONGPATTANAKIT Panipak,Person,THA,Thailand,2,POINTS,W,,101
